Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dejounte Murray,PG,24,SAS,14,14,32.6,6.4,14.4,.443,1.1,3.4,.319,5.3,11.0,.481,.480,1.6,2.0,.786,0.8,6.6,7.4,5.6,1.4,0.1,1.9,2.3,15.4
Jamal Murray,PG,23,DEN,13,13,34.7,7.0,15.8,.442,2.2,6.5,.345,4.8,9.4,.508,.512,2.9,3.8,.760,0.8,2.6,3.5,4.0,1.0,0.2,1.8,2.4,19.2
Mike Muscala,C,29,OKC,12,0,18.2,3.0,6.9,.434,1.9,5.1,.377,1.1,1.8,.591,.572,0.9,1.0,.917,0.3,2.8,3.2,0.7,0.2,0.4,0.7,1.7,8.8
Larry Nance Jr.,PF,28,CLE,13,12,35.5,4.1,8.2,.495,1.6,3.8,.429,2.5,4.5,.552,.593,0.7,1.2,.563,1.5,4.6,6.1,3.8,2.4,0.5,2.0,2.0,10.5
Raul Neto,PG,28,WAS,11,4,16.9,3.5,6.7,.527,1.3,3.0,.424,2.3,3.7,.610,.622,0.5,0.8,.667,0.3,1.0,1.3,1.6,1.0,0.0,0.8,1.5,8.9
Georges Niang,PF,27,UTA,14,0,10.6,1.6,3.7,.442,0.8,2.4,.324,0.9,1.3,.667,.548,0.1,0.1,1.000,0.2,1.9,2.1,0.4,0.1,0.0,0.6,0.9,4.1
Zeke Nnaji,PF,20,DEN,6,0,2.7,0.2,0.7,.250,0.0,0.3,.000,0.2,0.3,.500,.250,0.0,0.0,0,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.3
Nerlens Noel,C,26,NYK,13,0,15.2,1.3,2.4,.548,0.0,0.1,.000,1.3,2.3,.567,.548,0.3,0.5,.571,1.2,3.0,4.2,0.3,0.9,1.7,1.2,1.9,2.9
Jaylen Nowell,SG,21,MIN,1,0,8.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Frank Ntilikina,PG,22,NYK,4,0,10.5,1.5,3.5,.429,1.3,2.3,.556,0.3,1.3,.200,.607,0.3,0.8,.333,0.3,0.8,1.0,0.8,0.8,0.0,0.5,1.8,4.5
Kendrick Nunn,PG,25,MIA,7,0,17.4,3.1,7.1,.440,0.6,2.1,.267,2.6,5.0,.514,.480,0.4,0.4,1.000,0.4,1.7,2.1,1.9,0.6,0.3,1.4,0.7,7.3
Jusuf Nurkić,C,26,POR,12,12,23.3,4.2,8.6,.485,0.3,1.0,.250,3.9,7.6,.516,.500,1.3,2.3,.556,1.9,5.8,7.7,2.8,0.9,0.9,1.9,2.8,9.8
Semi Ojeleye,PF,26,BOS,11,1,18.2,2.3,5.5,.417,1.3,3.5,.359,1.0,1.9,.524,.533,1.1,1.5,.706,0.8,2.6,3.5,0.6,0.0,0.0,0.5,1.3,6.9
Jahlil Okafor,C,25,DET,8,0,10.5,2.4,3.5,.679,0.0,0.0,0,2.4,3.5,.679,.679,0.0,0.0,0,1.4,1.5,2.9,0.3,0.3,0.1,0.5,1.0,4.8
Chuma Okeke,PF,22,ORL,5,0,18.2,1.0,2.8,.357,0.4,1.4,.286,0.6,1.4,.429,.429,0.6,1.2,.500,1.0,1.6,2.6,1.6,0.6,0.2,0.6,0.4,3.0
Josh Okogie,SG,22,MIN,6,5,24.2,2.5,5.2,.484,0.2,1.5,.111,2.3,3.7,.636,.500,1.0,1.3,.750,1.0,2.2,3.2,1.8,0.0,1.0,0.8,2.5,6.2
Onyeka Okongwu,C,20,ATL,1,0,14.0,2.0,6.0,.333,0.0,0.0,0,2.0,6.0,.333,.333,0.0,0.0,0,3.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,4.0
Isaac Okoro,SG,20,CLE,8,8,36.6,3.3,8.0,.406,0.9,2.9,.304,2.4,5.1,.463,.461,1.3,2.0,.625,0.8,1.4,2.1,2.3,1.1,0.5,1.8,2.4,8.6
KZ Okpala,PF,21,MIA,6,2,12.0,1.3,2.8,.471,0.7,1.5,.444,0.7,1.3,.500,.588,0.2,0.7,.250,0.7,0.8,1.5,0.3,0.3,0.0,0.8,1.3,3.5
Victor Oladipo,SG,28,TOT,10,10,33.2,7.7,17.5,.440,2.9,7.8,.372,4.8,9.7,.495,.523,2.9,4.1,.707,0.1,5.5,5.6,4.7,1.7,0.2,2.5,2.6,21.2
Victor Oladipo,SG,28,IND,9,9,33.3,7.1,16.9,.421,2.8,7.7,.362,4.3,9.2,.470,.503,3.0,4.1,.730,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0
Victor Oladipo,SG,28,HOU,1,1,32.0,13.0,23.0,.565,4.0,9.0,.444,9.0,14.0,.643,.652,2.0,4.0,.500,0.0,5.0,5.0,9.0,2.0,0.0,7.0,3.0,32.0
Kelly Olynyk,C,29,MIA,11,7,28.7,4.1,9.0,.455,2.3,6.5,.352,1.8,2.5,.714,.581,0.5,0.7,.625,0.7,4.5,5.3,2.5,0.9,0.9,1.7,2.6,10.9
Miye Oni,SG,23,UTA,9,0,8.6,0.6,1.7,.333,0.6,1.3,.417,0.0,0.3,.000,.500,0.0,0.0,0,0.2,1.2,1.4,0.6,0.0,0.4,0.1,1.1,1.7
Daniel Oturu,C,21,LAC,7,0,5.0,1.1,2.0,.571,0.0,0.1,.000,1.1,1.9,.615,.571,0.3,0.3,1.000,0.7,1.3,2.0,0.6,0.0,0.3,0.1,0.6,2.6
Eric Paschall,PF,24,GSW,12,2,19.4,4.6,8.6,.534,0.7,1.8,.381,3.9,6.8,.573,.573,2.5,3.1,.811,0.9,2.5,3.4,1.3,0.3,0.2,0.3,1.8,12.3
Anžejs Pasečņiks,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
Patrick Patterson,PF,31,LAC,6,0,12.5,1.3,3.3,.400,1.0,2.7,.375,0.3,0.7,.500,.550,0.5,0.7,.750,0.5,1.2,1.7,0.7,0.5,0.0,0.8,1.5,4.2
Chris Paul,PG,35,PHO,12,12,31.6,5.0,11.3,.444,0.8,2.8,.303,4.2,8.5,.490,.481,2.7,2.8,.970,0.6,3.9,4.5,8.6,0.8,0.3,2.0,3.1,13.5
Cameron Payne,PG,26,PHO,10,0,17.7,3.0,5.9,.508,1.0,2.2,.455,2.0,3.7,.541,.593,0.4,0.4,1.000,0.2,2.2,2.4,4.3,0.6,0.1,1.3,2.2,7.4
Elfrid Payton,PG,26,NYK,15,15,29.1,5.5,12.3,.449,0.6,1.9,.310,4.9,10.4,.474,.473,1.5,2.1,.688,1.4,2.7,4.1,4.1,0.7,0.2,2.3,2.1,13.1
Reggie Perry,PF,20,BRK,7,0,9.3,1.6,3.3,.478,0.1,0.9,.167,1.4,2.4,.588,.500,0.1,0.4,.333,0.6,2.3,2.9,1.0,0.0,0.1,0.4,1.0,3.4
Theo Pinson,SG,25,NYK,6,0,2.7,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.0
Mason Plumlee,C,30,DET,13,13,27.5,3.3,6.1,.544,0.0,0.3,.000,3.3,5.8,.573,.544,1.8,2.5,.719,3.1,5.6,8.7,3.5,1.5,0.5,1.8,3.5,8.4
Jakob Poeltl,C,25,SAS,14,3,19.7,2.4,4.2,.576,0.0,0.0,0,2.4,4.2,.576,.576,0.4,1.3,.278,3.1,3.2,6.3,2.0,0.5,0.9,1.1,2.1,5.2
Vincent Poirier,C,27,PHI,3,0,4.7,0.3,1.0,.333,0.0,0.0,0,0.3,1.0,.333,.333,0.7,1.3,.500,0.7,0.3,1.0,0.3,0.0,0.3,0.3,0.3,1.3
Aleksej Pokusevski,PF,19,OKC,11,0,16.8,1.3,5.4,.237,0.5,3.3,.167,0.7,2.1,.348,.288,0.0,0.0,0,0.5,3.5,4.0,1.2,0.5,1.1,1.5,1.0,3.1
Jordan Poole,SG,21,GSW,8,0,9.6,1.5,3.8,.400,0.6,2.3,.278,0.9,1.5,.583,.483,1.1,1.1,1.000,0.1,0.9,1.0,0.9,0.1,0.0,0.5,0.9,4.8
Bobby Portis,C,25,MIL,14,1,22.9,4.6,8.4,.547,0.9,2.0,.429,3.7,6.4,.584,.598,0.9,1.3,.722,2.3,5.8,8.1,1.1,0.9,0.4,1.1,2.1,10.9
Kristaps Porziņģis,C,25,DAL,4,4,28.8,7.3,17.0,.426,2.0,7.0,.286,5.3,10.0,.525,.485,2.0,2.8,.727,2.0,5.8,7.8,0.5,0.0,2.0,1.3,2.8,18.5
Dwight Powell,C,29,DAL,9,6,19.8,1.6,3.3,.467,0.1,0.6,.200,1.4,2.8,.520,.483,1.8,2.4,.727,1.1,2.4,3.6,1.2,1.2,0.6,0.9,2.6,5.0
Norman Powell,SG,27,TOR,13,3,23.0,3.7,9.2,.400,2.0,4.8,.419,1.7,4.5,.379,.508,2.7,3.1,.875,0.1,2.1,2.2,0.8,1.0,0.2,1.3,1.8,12.1
Taurean Prince,PF,26,BRK,12,4,18.2,2.5,6.2,.405,1.1,3.1,.351,1.4,3.1,.459,.493,2.0,2.3,.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
Payton Pritchard,SG,23,BOS,12,0,22.7,3.3,6.7,.500,1.3,3.1,.432,2.0,3.6,.558,.600,0.8,0.8,.900,0.5,2.3,2.8,2.8,1.1,0.4,1.8,1.9,8.8
Immanuel Quickley,PG,21,NYK,11,0,17.9,3.4,8.4,.402,1.2,3.5,.342,2.2,4.9,.444,.473,2.1,2.2,.958,0.1,1.5,1.6,2.6,0.6,0.4,0.9,2.1,10.0
Jahmi'us Ramsey,SG,19,SAC,4,0,4.0,0.5,1.0,.500,0.3,0.8,.333,0.3,0.3,1.000,.625,0.0,0.0,0,0.0,1.0,1.0,0.3,0.0,0.3,0.3,0.0,1.3
Julius Randle,PF,26,NYK,15,15,37.1,8.2,16.9,.484,1.5,4.1,.355,6.7,12.8,.526,.528,4.9,6.4,.771,1.4,9.6,11.0,6.1,0.7,0.2,3.6,3.4,22.8
J.J. Redick,SG,36,NOP,13,0,21.3,2.5,7.4,.344,1.7,5.4,.314,0.8,2.0,.423,.458,1.7,1.7,1.000,0.2,1.8,2.0,1.2,0.2,0.0,0.7,1.4,8.5
Paul Reed,PF,21,PHI,4,0,12.8,2.0,4.8,.421,0.0,0.8,.000,2.0,4.0,.500,.421,0.0,0.0,0,1.8,0.8,2.5,0.8,0.3,1.0,1.3,1.0,4.0
Naz Reid,C,21,MIN,12,4,20.3,4.0,7.5,.533,1.0,2.6,.387,3.0,4.9,.610,.600,1.7,2.3,.714,0.9,3.2,4.1,1.2,0.5,1.0,1.4,2.9,10.7
Nick Richards,PF,23,CHO,4,0,3.0,0.5,0.5,1.000,0.0,0.0,0,0.5,0.5,1.000,1.000,0.3,0.5,.500,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.5,1.3
Josh Richardson,SG,27,DAL,8,8,32.5,4.9,11.9,.411,2.0,6.3,.320,2.9,5.6,.511,.495,2.0,2.1,.941,1.1,1.8,2.9,1.6,0.9,0.3,1.3,3.8,13.8
Austin Rivers,SG,28,NYK,11,2,25.5,3.4,8.0,.420,1.8,4.6,.392,1.5,3.4,.459,.534,0.2,0.4,.500,0.3,2.5,2.8,2.5,0.5,0.0,1.3,1.9,8.7
Jerome Robinson,SG,23,WAS,6,1,15.0,1.5,3.8,.391,0.7,1.7,.400,0.8,2.2,.385,.478,0.8,0.8,1.000,0.0,1.7,1.7,1.3,0.5,0.0,0.7,2.2,4.5
Mitchell Robinson,C,22,NYK,15,15,30.0,3.9,6.0,.644,0.0,0.0,0,3.9,6.0,.644,.644,0.7,1.7,.440,3.9,4.4,8.3,0.5,1.4,1.8,0.7,2.7,8.5
Isaiah Roby,PF,22,OKC,10,4,19.4,3.5,6.3,.556,0.7,1.8,.389,2.8,4.5,.622,.611,1.3,2.1,.619,1.8,3.2,5.0,1.3,0.5,0.4,1.2,2.5,9.0
Rajon Rondo,PG,34,ATL,5,0,13.2,1.0,3.8,.263,0.4,1.4,.286,0.6,2.4,.250,.316,0.0,0.0,0,0.4,1.2,1.6,4.0,0.2,0.2,1.2,0.4,2.4
Derrick Rose,PG,32,DET,10,0,23.7,5.5,12.5,.440,1.0,3.0,.333,4.5,9.5,.474,.480,3.5,4.2,.833,0.3,1.7,2.0,5.1,1.4,0.3,2.3,1.4,15.5
Terrence Ross,SG,29,ORL,13,0,27.8,5.6,13.1,.429,2.2,5.8,.382,3.4,7.2,.468,.515,2.9,3.2,.905,0.2,2.5,2.7,1.7,1.1,0.3,1.8,2.0,16.4
Terry Rozier,SG,26,CHO,14,14,33.1,7.1,14.8,.478,3.4,7.6,.443,3.7,7.2,.515,.592,2.4,3.1,.773,0.6,3.4,4.1,2.7,1.4,0.5,1.9,2.2,19.9
Ricky Rubio,PG,30,MIN,11,3,24.5,2.2,5.7,.381,0.5,1.9,.238,1.7,3.8,.452,.421,1.5,1.5,.941,0.4,2.5,2.8,5.4,1.4,0.0,1.6,2.2,6.3
D'Angelo Russell,PG,24,MIN,12,11,31.5,8.0,18.1,.442,3.1,7.8,.398,4.9,10.3,.476,.528,2.5,3.7,.682,0.6,2.6,3.2,5.6,1.5,0.4,3.4,2.1,21.6
Domantas Sabonis,PF,24,IND,13,13,37.5,8.6,15.6,.552,0.7,2.2,.310,7.9,13.4,.592,.574,3.8,5.5,.681,3.2,9.7,12.8,5.8,0.8,0.5,3.4,3.8,21.7
Luka Šamanić,PF,21,SAS,3,0,2.7,0.3,1.7,.200,0.3,0.7,.500,0.0,1.0,.000,.300,0.3,0.7,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
JaKarr Sampson,PF,27,IND,7,0,7.4,1.0,2.1,.467,0.0,0.3,.000,1.0,1.9,.538,.467,0.6,0.7,.800,0.4,1.7,2.1,0.0,0.1,0.3,0.1,0.9,2.6
Dario Šarić,PF,26,PHO,7,0,18.9,3.7,8.3,.448,1.4,4.0,.357,2.3,4.3,.533,.534,1.7,1.9,.923,0.4,4.1,4.6,1.0,0.6,0.1,1.6,2.0,10.6
Tomáš Satoranský,SG,29,CHI,3,0,22.7,2.3,5.0,.467,0.7,2.0,.333,1.7,3.0,.556,.533,1.0,1.0,1.000,0.7,1.7,2.3,6.0,1.3,0.3,2.7,0.7,6.3
Dennis Schröder,SG,27,LAL,15,15,31.0,5.5,12.8,.427,1.2,3.7,.327,4.3,9.1,.467,.474,2.7,3.3,.800,0.7,3.5,4.2,4.7,1.1,0.2,2.4,2.8,14.8
Mike Scott,PF,32,PHI,8,2,19.1,1.8,5.5,.318,1.1,4.5,.250,0.6,1.0,.625,.420,0.3,0.4,.667,0.5,2.3,2.8,0.1,0.3,0.3,0.4,1.3,4.9
Collin Sexton,SG,22,CLE,8,8,37.4,9.8,18.4,.531,2.0,3.9,.516,7.8,14.5,.534,.585,3.6,4.4,.829,0.5,1.6,2.1,3.5,1.4,0.3,2.1,2.9,25.1
Landry Shamet,SG,23,BRK,15,0,17.3,1.6,4.6,.348,1.1,3.4,.314,0.5,1.2,.444,.464,1.1,1.2,.889,0.1,1.3,1.4,1.1,0.7,0.1,0.8,1.2,5.3
Pascal Siakam,PF,26,TOR,12,12,35.5,7.2,16.4,.437,1.3,4.8,.263,5.9,11.7,.507,.475,3.3,4.3,.769,2.3,5.6,7.8,4.9,0.8,0.7,2.6,3.9,18.9
Chris Silva,PF,24,MIA,6,0,8.8,1.0,1.5,.667,0.2,0.2,1.000,0.8,1.3,.625,.722,1.7,2.0,.833,1.2,1.8,3.0,1.0,0.2,0.3,1.3,2.3,3.8
Ben Simmons,PG,24,PHI,12,12,33.0,4.6,9.2,.500,0.1,0.4,.200,4.5,8.8,.514,.505,3.0,4.8,.632,1.2,8.1,9.3,8.0,1.5,1.0,4.2,3.4,12.3
Anfernee Simons,SG,21,POR,11,0,10.5,1.4,4.5,.300,1.1,3.4,.324,0.3,1.2,.231,.420,0.4,0.5,.667,0.0,1.5,1.5,0.5,0.1,0.3,0.3,1.0,4.2
Deividas Sirvydis,SG,20,DET,2,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Smart,PG,26,BOS,11,11,32.5,3.6,10.5,.345,1.9,5.8,.328,1.7,4.7,.365,.435,3.0,4.1,.733,0.5,2.1,2.6,5.6,1.5,0.5,1.5,2.5,12.2
Dennis Smith Jr.,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
